OBJECTID,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_nearby,linqmap_roadType,linqmap_reportMood,linqmap_reportRating,linqmap_expectedBeginDate,linqmap_expectedEndDate,linqmap_magvar,nComments,linqmap_reliability,update_date,test_set
97390,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,6,1653475982716,5
97401,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:50:22,,תל אביב - יפו,רמז,,2,0,5,,,4,0,5,1653475982719,6
97406,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:47:40,,תל אביב - יפו,לה גווארדיה,,2,0,5,,,268,0,5,1653475982721,6
97407,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/07/2022 21:14:58,,תל אביב - יפו,לוינסקי,,17,0,0,,,0,0,10,1653475982721,6
97416,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/25/2022 10:50:48,,תל אביב - יפו,לה גווארדיה,,2,0,5,,,269,0,5,1653475982724,6
99491,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 11:29:34,,תל אביב - יפו,משה סנה,,2,0,5,,,352,0,8,1653479582566,7
99493,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653479582567,7
99494,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,7,1653479582568,7
99496,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,6,1653479582569,7
101468,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:45:45,,תל אביב - יפו,דרך נמיר,,2,0,5,,,351,0,5,1653483182569,8
101469,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 12:50:57,,תל אביב - יפו,דרך חיים בר-לב,,2,0,5,,,282,0,6,1653483182569,8
101470,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1653483182570,8
101478,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:49:31,,תל אביב - יפו,פרישמן,,2,0,5,,,272,0,5,1653483182572,8
101490,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,7,1653483182576,9
101491,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/25/2022 12:38:11,,תל אביב - יפו,שד רוקח,,2,0,5,,,75,0,7,1653483182576,9
101492,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:49:59,,תל אביב - יפו,דרך נמיר,,2,0,5,,,190,0,5,1653483182576,9
101494,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,6,1653483182577,9
103442,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/30/2022 17:20:25,,תל אביב - יפו,קפריסין,,1,0,0,,,0,0,10,1653486782505,10
103452,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/22/2022 06:00:00,עבודות-סגירה חלקית,תל אביב - יפו,רבנו חננאל,,1,0,0,,,103,0,10,1653486782508,10
103453,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 13:28:43,,תל אביב - יפו,ארלוזורוב,,2,0,5,,,106,0,5,1653486782508,10
103463,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653486782511,10
